"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: totalStages"
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Survivor_Space","avgt",1,10,"5,804886","0,484556","MB/sec",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"135435,067498","10737,779146","B/op",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.count","avgt",1,10,"332,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.time","avgt",1,10,"3512,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pDataOrigOnePass","avgt",1,10,"237461,954437","4889,906795","us/op",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate","avgt",1,10,"2695,066581","55,601035","MB/sec",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate.norm","avgt",1,10,"704715395,156222","112913,258276","B/op",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space","avgt",1,10,"2700,919362","102,077761","MB/sec",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"706206116,663393","19536588,257130","B/op",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,136386","0,062180","MB/sec",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"35632,310380","16081,118666","B/op",15
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Survivor_Space","avgt",1,10,"26,513403","2,466318","MB/sec",15
